,XGBoost,Oscillation time slot for train--> 8.1 to 8.4(20 seconds)   and for test --> 6.1 to 6.4(14 seconds),,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
ID,Ngram,Overlap,Number of Ngrams in the training set,Number of Ngrams in the testing set,Macro-average F1 score,Train Time,Test time for entire dataset,Test time per sample(in microseconds),model size 
1,300,0.95,19981,7981,0.431312,18.763272,0.07194,9.013901,305605
2,300,0.85,6661,2661,0.430226,29.634092,0.008449,3.174972,247737
3,300,0.75,3997,1597,0.475586,6.140764,0.006012,3.764685,243588
4,300,0.5,1999,799,0.486641,8.830511,0.003918,4.903843,216456
5,250,0.95,23058,9212,0.43231,12.25261,0.024925,2.705683,297449
6,250,0.85,7889,3152,0.431821,7.25304,0.009854,3.126143,240868
7,250,0.75,4758,1901,0.424347,8.456318,0.006736,3.543545,222100
8,250,0.5,2399,959,0.462363,6.677992,0.022761,23.73396,196600
9,200,0.95,29981,11981,0.42994,10.461968,0.030772,2.568417,282282
10,200,0.85,9994,3994,0.438865,4.512866,0.011585,2.900481,254400
11,200,0.75,5997,2397,0.451272,4.52087,0.00731,3.049808,225024
12,200,0.5,2999,1199,0.44238,2.784438,0.004689,3.911138,203740
13,150,0.95,37482,14982,0.431132,7.31764,0.036601,2.442987,314586
14,150,0.85,13037,5211,0.433619,3.769924,0.018531,3.556102,280110
15,150,0.75,7891,3154,0.436807,2.706176,0.008756,2.776133,232164
16,150,0.5,3999,1599,0.442525,4.48913,0.005117,3.200385,215096
17,100,0.95,59981,23981,0.427176,6.077423,0.055413,2.310695,323977
18,100,0.85,19994,7994,0.432311,2.955571,0.019331,2.418186,299966
19,100,0.75,11997,4797,0.440201,2.186319,0.012245,2.552625,269429
20,100,0.5,5999,2399,0.441087,1.547717,0.006525,2.719701,235224
21,70,0.95,74983,29983,0.418421,4.845581,0.077015,2.56862,319312
22,70,0.85,27267,10903,0.421997,3.761753,0.025158,2.307432,304285
23,70,0.75,16663,6663,0.424651,1.770077,0.015562,2.335593,286533
24,70,0.5,8570,3427,0.442749,1.326376,0.01047,3.055195,240563
25,50,0.95,99984,39984,0.421492,7.289749,0.083607,2.091004,360942
26,50,0.85,37494,14994,0.427366,2.223686,0.032315,2.155196,352028
27,50,0.75,23074,9227,0.430509,1.781542,0.020682,2.24145,324754
28,50,0.5,11999,4799,0.439301,1.137728,0.013046,2.718538,255455
29,20,0.95,299981,119981,0.434408,6.142411,0.23227,1.93589,421499
30,20,0.85,99994,39994,0.440703,4.930824,0.089359,2.234311,401497
31,20,0.75,59997,23997,0.421296,1.56481,0.048265,2.011292,387555
32,20,0.5,29999,11999,0.439196,0.953726,0.025452,2.121208,353879
33,10,0.95,299991,119991,0.431067,6.694458,0.219006,1.825189,425038
34,10,0.85,149996,59996,0.431948,2.226316,0.113178,1.886426,397959
35,10,0.75,99997,39997,0.441257,1.441723,0.093083,2.327247,384009
36,10,0.5,59999,23999,0.420025,0.948637,0.045595,1.899868,360129
